Trt.ID,Tank.ID,Dark body,Exopthlamia,Mouth Haemorrhage,Skin Haemorrhage,Eye Haemorrhage,Ascites,Swollen Spleen,Visceral Haemorrhage,Grey Kidney,Swollen Kidney
D,E21,N,N,Y,Y,N,N,N,Y,Y,Y
A,E18,N,N,Y,Y,N,N,N,N,N,Y
C,E08,N,N,N,N,N,N,N,N,Y,Y
B,E12,N,N,Y,N,N,N,N,N,Y,Y
A,E16,N,N,Y,N,N,N,Y,N,N,Y
E,E17,N,N,N,Y,N,N,N,Y,Y,Y
E,E17,N,N,N,N,N,N,Y,Y,Y,Y
E,E31,N,N,N,N,N,N,Y,Y,Y,Y
D,E10,N,N,Y,Y,N,N,Y,Y,Y,Y
B,E22,N,N,N,Y,N,N,Y,Y,Y,Y
A,E20,N,Y,Y,N,Y,N,Y,Y,Y,Y
D,E10,N,N,N,N,N,N,N,Y,Y,Y
B,E22,N,N,Y,N,N,N,N,N,Y,Y
B,E22,N,N,N,N,N,N,N,N,N,Y
E,E04,N,N,Y,Y,Y,N,Y,N,Y,Y
C,E08,N,N,N,N,N,N,Y,Y,Y,Y
C,E08,N,N,Y,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N,N,Y,N,N,N,Y,Y,N,Y
C,E05,N,N,Y,Y,N,N,N,N,N,Y
A,E06,N,N,N,N,N,N,N,N,N,Y
A,E06,N,N,Y,Y,N,N,N,N,N,Y
C,E05,N,N,N,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N,N,N,N,N,N,N,N,Y,Y
B,E07,N,N,Y,Y,N,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N,N,Y,N,N,N,Y,Y,Y,Y
D,E10,N,N,N,Y,Y,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E12,N,N,N,N,N,N,N,N,Y,Y
D,E03,N,N,N,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
A,E02,N,N,Y,N,N,N,N,Y,Y,Y
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N,N,Y,Y,N,N,N,N,N,Y
C,E13,N,N,Y,N,N,N,N,N,N,Y
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N,N,N,Y,N,N,Y,Y,Y,Y
A,E18,N,N,Y,Y,N,N/AP,N/AP,N/AP,N/AP,N/AP
A,E20,N,N,Y,N,N,N,N,N,Y,Y
D,E21,N,N,Y,Y,N,N,N,N,Y,Y
D,E21,N,N,Y,N,N,N,N,N,Y,Y
E,E23,N,N,N,Y,N,N,N,N,Y,Y
E,E23,N,N,N,N,Y,N,Y,N,Y,Y
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N,N,N,N,N,N,N,N,Y,Y
B,E24,N,N,N,Y,N,N,Y,N,Y,Y
D,E26,N,N,N,N,N,N,N,Y,Y,Y
B,E28,N,N,N,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N,N,Y,Y,N,N,Y,Y,Y,Y
E,E31,N,N,Y,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N,N,Y,N,N,N,N,Y,Y,Y
E,E38,N,N,N,N,N,N,N,N,Y,N
E,E38,N,N,Y,N,N,N,N,N,Y,N
D,E39,N,N,N,N,N,N,N,Y,Y,Y
D,E39,N,N,N,N,N,N,Y,N,Y,Y
D,E39,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E39,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E39,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N,N,Y,Y,N,N,Y,Y,Y,Y
C,E40,N,N,N,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N,N,N,Y,N,N,N,Y,Y,Y
B,E42,N,N,N,N,N,N,Y,N,Y,Y
B,E42,N,N,N,N,N,N,N,Y,Y,Y
E,E43,N,N,N,N,N,N,N,N,Y,Y
E,E43,N,N,Y,N,N,N,N,Y,Y,Y
A,E44,N,N,Y,N,Y,N/AP,N/AP,N/AP,N/AP,N/AP
D,E01,N,N,Y,Y,N,N,N,Y,N,N
A,E02,N,N,Y,N,N,N,N,Y,N,Y
C,E05,N,N,Y,Y,N,N,Y,N,Y,Y
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N,N,Y,Y,N,N,Y,N,N,N
C,E09,N,N,Y,Y,N,Y,N,Y,N,Y
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,Y,N,Y,Y,N,N,Y,Y,Y,Y
B,E12,N,N,N,Y,N,N,Y,Y,N,Y
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E14,N,N,Y,Y,Y,Y,Y,N,Y,Y
E,E15,N,N,Y,Y,N,N,Y,N,Y,Y
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N,N,N,N,N,N,Y,Y,Y,Y
E,E17,N,N,Y,Y,N,N,Y,Y,Y,Y
E,E17,N,N,N,Y,N,N,N,Y,N,Y
A,E18,N,N,Y,Y,N,Y,Y,Y,Y,Y
A,E20,N,N,Y,Y,Y,N,N,N,N,Y
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E22,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E26,N,N,Y,N,N,N,N,Y,Y,Y
C,E27,N,N,Y,Y,N,Y,N,N,N,Y
B,E28,N,N,Y,Y,N,Y,N,N,N,N
B,E28,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N,N,Y,Y,N,N,N,Y,Y,Y
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E32,N,N,Y,N,N,Y,N,N,N,Y
C,E35,N,N,N,Y,N,Y,Y,N,Y,Y
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E37,N,N,N,N,N,N,Y,Y,Y,Y
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N,N,Y,N,N,Y,Y,Y,N,Y
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E42,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E42,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E44,N,N,N,Y,N,N,N,Y,N,Y
D,E01,N,N,Y,N,N,N,Y,N,Y,Y
A,E02,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E02,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E04,N,N,Y,N,N,N,N,Y,Y,Y
E,E04,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,N,N,N,N,N,Y,N,Y,Y,Y
D,E11,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E12,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E14,N,N,N,N,N,Y,N,Y,Y,Y
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N,N,N,N,N,N,Y,Y,Y,Y
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E18,N,N,Y,Y,N,N,Y,Y,Y,Y
D,E19,N,N,Y,Y,N,Y,N,Y,Y,Y
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E22,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E22,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E26,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E26,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N,N,Y,Y,N,N,Y,Y,N,Y
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N,N,Y,Y,N,Y,Y,Y,Y,Y
E,E31,Y,N,Y,Y,N,Y,N,Y,Y,Y
C,E32,N,N,Y,Y,N,N,Y,N,N,N
A,E37,N,N,Y,N,N,N,N,Y,Y,Y
A,E37,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E39,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N,N,N,N,N,Y,Y,Y,Y,Y
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E42,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E44,N,N,Y,N,N,N,Y,Y,Y,Y
A,E44,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E44,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N,N,Y,Y,N,Y,N,Y,Y,Y
B,E14,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E14,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E20,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E32,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E39,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E44,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E37,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E14,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E12,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E04,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E39,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E01,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E18,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
