Trt.ID,Tank.ID,Dark body,Exopthlamia,Mouth Haemorrhage,Skin Haemorrhage,Eye Haemorrhage,Ascites,Swollen Spleen,Visceral Haemorrhage,Grey Kidney,Swollen Kidney
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E03,N,N,N,Y,Y,N,N,Y,Y,Y
B,E28,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E28,N,N,Y,N,N,N,Y,Y,Y,Y
E,E36,N,N,Y,Y,N,N,Y,Y,Y,Y
E,E36,N,N,N,N,N,N,Y,Y,Y,Y
E,E36,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E44,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E19,N,N,Y,Y,Y,N,Y,Y,Y,Y
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E18,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E18,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E19,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E19,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E19,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E19,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E32,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E32,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E39,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E20,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E22,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E28,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E36,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E36,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E42,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E42,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E43,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E44,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E44,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E04,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E04,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E14,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E02,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E01,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E01,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E03,N,N,Y,Y,Y,N,Y,Y,Y,Y
D,E03,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E03,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E01,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E26,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E01,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E01,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E02,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E03,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E03,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E04,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E04,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E05,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E09,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E11,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E12,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E12,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E12,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E14,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E14,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E16,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E17,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E18,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E18,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E18,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E19,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E20,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E20,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E21,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E22,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E22,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E22,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E23,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E24,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
D,E26,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E27,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E28,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E28,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E30,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E31,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E32,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E32,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E32,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E35,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E36,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E36,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E36,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E37,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E37,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
A,E37,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E38,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E40,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E41,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
